Product_URL,Product_Image_URL,Product_Tagging,Product_Name,Product_Description,Original_Price,Discount_Price,Sizes_Available,Vouchers,Available_Colors,Color_Shown,Style_Code,Rating_Score,Review_Count
https://www.nike.com/ph/t/jr-mercurial-vapor-16-academy-kylian-mbappe-older-multi-ground-low-top-football-boot-01jdVd/FQ8394-801,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/d026acb4-fbd2-403b-9dfc-71c5f4041484/JR+ZOOM+VAPOR+16+ACAD+KM+FG%2FMG.png","Member product, MEMBER_ACCESS_ALL",Nike Jr. Mercurial Vapor 16 Academy 'Kylian Mbappé',Older Kids' Multi-Ground Low-Top Football Boot,"PHP 3,695.00","PHP 1,848.00",,,1 Colour,Melon Tint/Igloo/Neo Turquoise,FQ8394-801,,
https://www.nike.com/ph/t/sportswear-windrunner-older-hooded-repel-jacket-H8F69TZc/IF2821-503,https://static.nike.com/a/images/t_default/b15eefcb-8820-4c39-9a74-84faa2266f82/K+NSW+RPL+WR+HD+JKT.png,"Recycled Materials, SUSTAINABLE_MATERIALS",Nike Sportswear Windrunner,Older Kids' Hooded Repel Jacket,"PHP 2,595.00","PHP 1,817.00",,,1 Colour,Light Magenta/Black/White,IF2821-503,5,
https://www.nike.com/ph/t/pinnacle-running-tights-2QEA1nVV/HV2717-010,https://static.nike.com/a/images/t_default/6f2e6b5c-3f11-4c4d-9ba2-9cd0fa23d340/AS+M+NK+PINNACLE+RUN+TIGHT.png,"Recycled Materials, SUSTAINABLE_MATERIALS",Nike Pinnacle,Men's Running Tights,"PHP 4,495.00","PHP 3,147.00",,,1 Colour,Black,HV2717-010,,
https://www.nike.com/ph/t/acg-tuff-fleece-pullover-crew-neck-sweatshirt-WzolUL6P/IF1491-009,https://static.nike.com/a/images/t_default/0bde42f6-9249-463a-92a1-2a652bf4b141/AS+U+ACG+TF+TUFF+FLC+PO+OC+SSN.png,"Bestseller, BEST_SELLER",Nike ACG 'Tuff Fleece',Men's Therma-FIT Pullover Crew-Neck Sweatshirt,"PHP 5,195.00","PHP 3,637.00",,,1 Colour,College Grey,IF1491-009,,
https://www.nike.com/ph/t/sportswear-phoenix-cozy-boucle-short-sleeve-cropped-knit-top-R0sBaiST/HV2771-667,https://static.nike.com/a/images/t_default/1f470d34-79e2-498b-81c1-448dbb4b4e3e/AS+W+NSW+PHNX+BCL+SS+CROP+TOP.png,"Recycled Materials, SUSTAINABLE_MATERIALS",Nike Sportswear Phoenix Cosy Bouclé,Women's Short-Sleeve Cropped Knit Top,"PHP 3,095.00","PHP 1,857.00",,,1 Colour,Silt Red/Malt/Silt Red,HV2771-667,,
https://www.nike.com/ph/t/air-jordan-mule-shoes-9PAPEZZZ/HJ4292-100,"https://static.nike.com/a/images/t_default/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/2a3505c1-aac0-4e23-92f8-049e6362b7b0/WMNS+AIR+JORDAN+MULE.png","Bestseller, BEST_SELLER",Air Jordan Mule,Women's Shoes,"PHP 8,595.00","PHP 5,587.00",,,1 Colour,Summit White/Black/Metallic Silver,HJ4292-100,,
https://www.nike.com/ph/t/air-max-phoenix-younger-shoes-sjMQ0Ltz/HF7053-105,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/8c70633c-fcff-4157-b490-d6611a7e168b/AIR+MAX+PHOENIX+%28PS%29.png","Bestseller, BEST_SELLER",Nike Air Max Phoenix,Little Kids' Shoes,"PHP 5,695.00","PHP 3,987.00",,,1 Colour,White/Black/Team Red,HF7053-105,,
https://www.nike.com/ph/t/air-max-phoenix-younger-shoes-sjMQ0Ltz/HF7053-009,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/5e6e43bb-e0e9-48d0-ae39-b9d4d3d42276/AIR+MAX+PHOENIX+%28PS%29.png","Bestseller, BEST_SELLER",Nike Air Max Phoenix,Little Kids' Shoes,"PHP 5,695.00","PHP 3,987.00",,,1 Colour,Black/Anthracite/Smoke Grey/White,HF7053-009,,
https://www.nike.com/ph/t/jordan-sport-dri-fit-10cm-diamond-shorts-dy4Co96N/HQ8908-010,"https://static.nike.com/a/images/t_default/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/c204401f-81d4-4fe1-a14f-3fbcdba05027/W+J+SPT+DF+DMND+SRT+4IN+SHN.png","Recycled Materials, SUSTAINABLE_MATERIALS",Jordan Sport,Women's Dri-FIT 10cm (approx.) Diamond Shorts,"PHP 2,195.00","PHP 1,537.00",,,1 Colour,Black/Black,HQ8908-010,,
https://www.nike.com/ph/t/lebron-velour-basketball-hoodie-6vPXNSlW/IM0636-010,https://static.nike.com/a/images/t_default/7d13991f-4645-450e-929c-6c04dc17b927/AS+LJ+M+NK+FZ+HD+FK+VLR.png,"Bestseller, BEST_SELLER",LeBron,Men's Velour Full-Zip Basketball Hoodie,"PHP 6,495.00","PHP 4,547.00",,,1 Colour,Black,IM0636-010,,
https://www.nike.com/ph/t/swift-dri-fit-short-sleeve-running-top-4kqdRP/HM9699-511,https://static.nike.com/a/images/t_default/6ba084d0-9ec5-40f0-a859-ff434d5e468e/AS+W+NK+SWIFT+DF+SS+TOP.png,"Bestseller, BEST_SELLER",Nike Swift,Women's Dri-FIT Short-Sleeve Running Top,"PHP 1,995.00","PHP 1,596.00",,,1 Colour,Violet Mist,HM9699-511,,
https://www.nike.com/ph/t/nikecourt-dri-fit-tennis-polo-xQtSz0/DH0858-010,https://static.nike.com/a/images/t_default/b8f732db-24c7-4d94-82d7-f519ecfc26a8/AS+M+NKCT+DF+POLO+SOLID.png,"Recycled Materials, SUSTAINABLE_MATERIALS",NikeCourt Dri-FIT,Men's Tennis Polo,"PHP 1,895.00","PHP 1,519.00",,,1 Colour,Black/White,DH0858-010,,
https://www.nike.com/ph/t/kobe-winterized-basketball-trousers-36aPsrzn/IM4867-010,https://static.nike.com/a/images/t_default/90d76f62-7059-4c92-9fc3-2d12c8ef79c6/AS+KB+M+NK+WINTERIZED+BOTTOM.png,"Recycled Materials, SUSTAINABLE_MATERIALS",Kobe,Men's Winterized Basketball Trousers,"PHP 4,995.00","PHP 3,247.00",,,1 Colour,Black/Anthracite/White,IM4867-010,,
https://www.nike.com/ph/t/inter-milan-2026-stadium-se-acg-dri-fit-football-replica-shorts-5XDJWuhO/IB3151-010,https://static.nike.com/a/images/t_default/c07f788b-355d-4c88-a4b4-107c38a16b50/INTER+M+NK+DF+SHORT+STAD+SE.png,"Recycled Materials, SUSTAINABLE_MATERIALS",Inter Milan 2026 Stadium SE,Men's Nike ACG Dri-FIT Football Replica Shorts,"PHP 2,195.00","PHP 1,537.00",,,1 Colour,Black/Safety Orange,IB3151-010,,
https://www.nike.com/ph/t/form-tank-top-bodysuit-W5s8zc/HQ7007-011,https://static.nike.com/a/images/t_default/c2c0f94a-0632-459a-9725-acfaee82d7c7/AS+W+NK+DF+TANK+BODYSUIT.png,"Recycled Materials, SUSTAINABLE_MATERIALS",Nike Form,Women's Tank Bodysuit,"PHP 2,795.00","PHP 1,677.00",,,1 Colour,Black/Smoke Grey/Dark Smoke Grey,HQ7007-011,,
https://www.nike.com/ph/t/advantage-dri-fit-mid-rise-tennis-trousers-3PTHI1F7/IB0783-736,https://static.nike.com/a/images/t_default/d5cad9e5-fa94-4f38-8f8e-aeee5e813840/AS+W+NKCT+DF+ADVTG+MR+PANT.png,"Bestseller, BEST_SELLER",Nike Advantage,Women's Dri-FIT Mid-Rise Tennis Trousers,"PHP 3,595.00","PHP 2,517.00",,,1 Colour,Light Lemon Twist/Black,IB0783-736,,
https://www.nike.com/ph/t/air-force-1-07-se-valentines-day-shoes-lmfauoWB/IQ9965-001,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/b71cccca-37c7-49cc-8c05-bd6f09d5cc2a/W+AIR+FORCE+1+%2707+LOW+SE.png","Bestseller, BEST_SELLER",Air Force 1 '07 SE 'Valentine's Day',Women's Shoes,"PHP 7,595.00","PHP 4,937.00",,,1 Colour,Black/University Red/Black,IQ9965-001,,
https://www.nike.com/ph/t/jr-mercurial-vapor-16-club-younger-low-top-football-shoes-QVRdJD/FQ8291-300,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/acd1e415-f408-4abe-8d75-fa301b5e94a7/JR+VAPOR+16+CLUB+TF+PS+%28V%29.png","Recycled Materials, SUSTAINABLE_MATERIALS",Nike Jr. Mercurial Vapor 16 Club,Younger Kids' Turf Low-Top Football Shoes,"PHP 1,995.00",PHP 998.00,,,1 Colour,Limelight/Hyper Crimson/Volt,FQ8291-300,4,
